0.025000 	 0.000000
0.075000 	 0.000000
0.125000 	 0.000000
0.175000 	 0.000000
0.225000 	 0.000000
0.275000 	 0.000000
0.325000 	 0.000000
0.375000 	 0.000000
0.425000 	 0.000000
0.475000 	 0.000000
0.525000 	 0.000000
0.575000 	 0.000000
0.625000 	 0.000000
0.675000 	 0.000000
0.725000 	 0.000000
0.775000 	 0.000000
0.825000 	 0.000000
0.875000 	 0.000110
0.925000 	 0.050627
0.975000 	 0.801057
1.025000 	 2.417920
1.075000 	 3.171280
1.125000 	 2.853640
1.175000 	 2.228900
1.225000 	 1.691860
1.275000 	 1.313290
1.325000 	 1.066100
1.375000 	 0.912267
1.425000 	 0.822650
1.475000 	 0.779486
1.525000 	 0.772020
1.575000 	 0.796031
1.625000 	 0.852121
1.675000 	 0.940696
1.725000 	 1.053180
1.775000 	 1.170180
1.825000 	 1.271870
1.875000 	 1.353280
1.925000 	 1.416200
1.975000 	 1.453660
2.025000 	 1.459720
2.075000 	 1.435310
2.125000 	 1.383720
2.175000 	 1.312040
2.225000 	 1.233460
2.275000 	 1.160400
2.325000 	 1.102120
2.375000 	 1.062960
2.425000 	 1.044380
2.475000 	 1.045230
